2026-02-18T14:01:57.616Z | INFO  | SETTINGS:CHANGED | Setting 'DnsCache' changed from '51866Z","ExpirationDateTimeUtc":"2026-02-18T14:21:23.6151866Z"}}' to '51866Z","ExpirationDateTimeUtc":"2026-02-18T14:21:23.6151866Z"}}'. | {"Caller":"SettingsCacheBase.LogChangeUnencrypted:334"}
2026-02-18T14:01:57.616Z | INFO  | API:REQUEST | GET "https://185.159.159.148/vpn/v2/status/J_RuwddWt9IrMgLT3sGO2ULjWC0aPFNxckR2Tzfbi0V0iX5mvEB5GJfLs0GOf9tJ2xv8dtD0uSKg7NzLRXLKEg==/binary" | {"Caller":"LoggingHandler.LogHttpRequest:88"}
2026-02-18T14:01:57.930Z | INFO  | API:RESPONSE | GET "https://185.159.159.148/vpn/v2/status/J_RuwddWt9IrMgLT3sGO2ULjWC0aPFNxckR2Tzfbi0V0iX5mvEB5GJfLs0GOf9tJ2xv8dtD0uSKg7NzLRXLKEg==/binary": 200 OK" | {"Caller":"LoggingHandler.LogHttpResponse:96"}
2026-02-18T14:01:58.105Z | INFO  | APP | Writing servers file. | {"Caller":"ServersFileReaderWriter.Save:62"}
2026-02-18T14:01:58.146Z | INFO  | APP | Writing servers file finished with state 'Success'. | {"Caller":"ServersFileReaderWriter.Save:64"}
2026-02-18T14:01:59.772Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:01:44 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:02:44 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:02:09.773Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:01:44 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:02:44 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:02:14.240Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 2:02:14 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:02:44 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:02:14.240Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T14:02:14.334Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:02:14 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:03:14 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:02:14.334Z | INFO  | APP | Port forwarding status changed from 'PortMappingCommunication' to 'SleepingUntilRefresh'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T14:02:19.776Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:02:14 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:03:14 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:02:29.766Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:02:14 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:03:14 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:02:39.769Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:02:14 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:03:14 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:02:44.340Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 2:02:44 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:03:14 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:02:44.340Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T14:02:44.436Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:02:44 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:03:44 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
